Year,CPI,SALARY,emp_income,other_income,interest_income,business_income,mortage_interest,pension_contribution
2023,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2024,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12
2025,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2026,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2027,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2028,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2029,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2030,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2031,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
2032,1,1.11,1.11,1.11,1.11,1.11,1.11,1.11
